filename,width,height,class,xmin,ymin,xmax,ymax
20070711.121325.01.19.570.25.png,460,460,frontgust,169,194,185,278
20070711.121325.01.19.570.28.png,460,460,frontgust,158,163,170,216
20070725.031820.01.19.570.2.png,460,460,frontgust,280,209,294,247
20070725.031820.01.19.570.2.png,460,460,frontgust,279,254,288,293
20070725.031820.01.19.570.3.png,460,460,frontgust,277,198,289,238
20070725.031820.01.19.570.3.png,460,460,frontgust,285,243,296,298
20070725.031820.01.19.570.4.png,460,460,frontgust,279,196,292,229
20070725.031820.01.19.570.4.png,460,460,frontgust,288,234,302,295
20070802.083232.01.19.570.17.png,460,460,frontgust,182,229,191,274
20070802.083232.01.19.570.18.png,460,460,frontgust,186,238,198,280
20070802.083232.01.19.570.18.png,460,460,frontgust,304,229,314,268
20070802.083232.01.19.570.20.png,460,460,frontgust,305,200,318,239
20070802.083232.01.19.570.20.png,460,460,frontgust,197,170,209,211
20070802.083232.01.19.570.21.png,460,460,frontgust,191,174,204,212
20070802.083232.01.19.570.4.png,460,460,frontgust,262,249,276,303
20070802.083232.01.19.570.5.png,460,460,frontgust,270,249,283,304
20070802.083232.01.19.570.6.png,460,460,frontgust,279,249,292,308
20070802.085635.01.19.570.1.png,460,460,frontgust,260,132,276,173
20070802.085635.01.19.570.1.png,460,460,frontgust,274,178,290,228
20070802.085635.01.19.570.25.png,460,460,frontgust,183,230,196,266
20070802.085635.01.19.570.26.png,460,460,frontgust,185,238,198,274
20070802.085635.01.19.570.3.png,460,460,frontgust,265,265,281,317
20070802.085635.01.19.570.35.png,460,460,frontgust,287,143,298,190
20070802.085635.01.19.570.35.png,460,460,frontgust,281,195,297,253
20070802.085635.01.19.570.4.png,460,460,frontgust,277,244,288,312
20070802.085635.01.19.570.5.png,460,460,frontgust,282,227,295,318
20070802.085635.01.19.570.5.png,460,460,frontgust,268,191,280,250
20070802.085635.01.19.570.6.png,460,460,frontgust,264,188,276,236
20070802.085635.01.19.570.6.png,460,460,frontgust,290,244,305,308
20070802.085635.01.19.570.7.png,460,460,frontgust,264,190,274,229
20070802.085635.01.19.570.8.png,460,460,frontgust,262,189,273,223
20080602.033242.01.19.570.0.png,460,460,frontgust,258,169,274,226
20080602.033242.01.19.570.20.png,460,460,frontgust,198,233,219,299
20080602.033242.01.19.570.21.png,460,460,frontgust,204,227,224,295
20080602.033242.01.19.570.22.png,460,460,frontgust,208,230,224,282
20080602.033242.01.19.570.3.png,460,460,frontgust,244,191,254,235
20080602.033242.01.19.570.4.png,460,460,frontgust,232,171,250,228
20080602.033242.01.19.570.5.png,460,460,frontgust,231,177,246,226
20080602.033242.01.19.570.6.png,460,460,frontgust,229,186,243,224
20080701.090145.01.19.570.2.png,460,460,frontgust,204,215,217,233
20080701.090145.01.19.570.21.png,460,460,frontgust,242,223,260,247
20080701.090145.01.19.570.22.png,460,460,frontgust,243,224,252,249
20080701.090145.01.19.570.22.png,460,460,frontgust,221,271,233,301
20080701.090145.01.19.570.26.png,460,460,frontgust,255,243,271,287
20080701.090145.01.19.570.27.png,460,460,frontgust,261,237,271,264
20080701.090145.01.19.570.3.png,460,460,frontgust,201,219,215,239
20080701.090145.01.19.570.4.png,460,460,frontgust,224,158,235,192
20080701.090145.01.19.570.4.png,460,460,frontgust,209,216,218,240
20080701.090145.01.19.570.7.png,460,460,frontgust,195,171,207,214
20080701.090145.01.19.570.7.png,460,460,frontgust,206,226,217,263
20080701.090145.01.19.570.8.png,460,460,frontgust,191,180,202,220
20080701.090145.01.19.570.8.png,460,460,frontgust,207,231,220,259
20080701.090145.01.19.570.9.png,460,460,frontgust,186,188,199,222
20080701.090145.01.19.570.9.png,460,460,frontgust,211,236,224,262
20090603.160000.01.19.570.19.png,460,460,frontgust,178,111,191,225
20090603.160000.01.19.570.3.png,460,460,frontgust,292,269,307,376
20090603.160000.01.19.570.4.png,460,460,frontgust,308,284,324,369
20090603.171800.01.19.570.1.png,460,460,frontgust,155,108,181,206
20090603.171800.01.19.570.2.png,460,460,frontgust,146,121,169,226
20090603.171800.01.19.570.20.png,460,460,frontgust,295,240,312,344
20090603.171800.01.19.570.21.png,460,460,frontgust,305,226,327,327
20090603.171800.01.19.570.3.png,460,460,frontgust,140,180,155,253
20090603.171800.01.19.570.3.png,460,460,frontgust,136,128,152,174
20090603.171800.01.19.570.5.png,460,460,frontgust,131,206,160,334
20090603.171800.01.19.570.6.png,460,460,frontgust,130,222,165,345
20090605.072459.01.19.570.15.png,460,460,frontgust,326,237,352,357
